Text,Chunk,Translation,Model,Word Count,APT,TQS,Quality Rating,Critical Error?,Final Quality Rating,Neutral,Minor,Major,Critical,Term.: Accuracy,Term.: Consistency,Term.: Total,Acc.: Mistranslation,Acc.: Overtranslation,Acc.: Undertranslation,Acc.: Addition,Acc.: Omission,Acc.: Total
Comp,8,T1,claude,298,233,21.8,FAIL,TRUE,FAIL,3,8,0,9,20,0,20,0,0,0,0,0,0
Comp,8,T2,openai,270,350,0.0,FAIL,TRUE,FAIL,3,15,2,13,33,0,33,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Text,Chunk,Translation,Model,Word Count,APT,TQS,Quality Rating,Critical Error?,Final Quality Rating,Neutral,Minor,Major,Critical,Term.: Accuracy,Term.: Consistency,Term.: Total,Acc.: Mistranslation,Acc.: Overtranslation,Acc.: Undertranslation,Acc.: Addition,Acc.: Omission,Acc.: Total
Comp,1,T2,claude,303,0,100.0,HIGH PASS,FALSE,HIGH PASS,4,0,0,0,4,0,4,0,0,0,0,0,0
Comp,6,T3,claude,238,5,97.9,HIGH PASS,FALSE,HIGH PASS,0,0,1,0,0,0,0,1,0,0,0,0,1
Comp,7,T2,claude,277,16,94.2,LOW PASS,FALSE,LOW PASS,0,1,3,0,2,0,2,1,0,0,1,0,2
Comp,9,T3,claude,264,19,92.8,LOW PASS,FALSE,LOW PASS,0,4,3,0,4,0,4,3,0,0,0,0,3
Comp,4,T2,claude,283,29,89.8,LOW PASS,TRUE,FAIL,0,4,0,1,4,0,4,0,0,1,0,0,1
Comp,5,T1,claude,310,32,89.7,LOW PASS,TRUE,FAIL,1,2,1,1,3,0,3,1,0,0,1,0,2
Comp,2,T1,claude,304,34,88.8,LOW PASS,TRUE,FAIL,2,4,1,1,4,0,4,2,1,1,0,0,4
Comp,3,T3,claude,312,53,83.0,FAIL,TRUE,FAIL,0,3,5,1,3,0,3,5,1,0,0,0,6
Comp,10,T2,claude,301,138,54.2,FAIL,TRUE,FAIL,2,3,2,5,12,0,12,0,0,0,0,0,0
Comp,8,T1,claude,298,233,21.8,FAIL,TRUE,FAIL,3,8,0,9,20,0,20,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
Comp,1,T1,gemini,312,2,99.4,HIGH PASS,FALSE,HIGH PASS,5,2,0,0,7,0,7,0,0,0,0,0,0
Comp,6,T2,gemini,260,11,95.8,HIGH PASS,FALSE,HIGH PASS,1,1,2,0,1,0,1,1,1,0,0,1,3
Comp,4,T1,gemini,310,15,95.2,HIGH PASS,FALSE,HIGH PASS,2,5,2,0,2,3,5,2,0,1,0,1,4
Comp,9,T2,gemini,277,14,94.9,LOW PASS,FALSE,LOW PASS,0,4,2,0,4,0,4,2,0,0,0,0,2
Comp,7,T1,gemini,313,19,93.9,LOW PASS,FALSE,LOW PASS,0,4,3,0,4,0,4,1,0,0,2,0,3
Comp,5,T3,gemini,347,33,90.5,LOW PASS,TRUE,FAIL,2,3,1,1,3,0,3,0,0,2,1,1,4
Comp,3,T2,gemini,333,39,88.3,LOW PASS,TRUE,FAIL,0,4,2,1,2,1,3,2,2,0,0,0,4
Comp,2,T3,gemini,315,46,85.4,FAIL,TRUE,FAIL,1,1,4,1,4,0,4,3,0,0,0,0,3
Comp,8,T3,gemini,336,115,65.8,FAIL,TRUE,FAIL,3,5,2,4,14,0,14,0,0,0,0,0,0
Comp,10,T1,gemini,301,225,25.2,FAIL,TRUE,FAIL,2,5,4,8,19,0,19,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
Comp,1,T3,openai,276,2,99.3,HIGH PASS,FALSE,HIGH PASS,6,2,0,0,6,1,7,1,0,0,0,0,1
Comp,7,T3,openai,267,6,97.8,HIGH PASS,FALSE,HIGH PASS,1,1,1,0,1,0,1,1,0,0,1,0,2
Comp,4,T3,openai,277,8,97.1,HIGH PASS,FALSE,HIGH PASS,0,3,1,0,3,0,3,0,0,1,0,0,1
Comp,6,T1,openai,234,10,95.7,HIGH PASS,FALSE,HIGH PASS,0,5,1,0,2,1,3,1,1,1,0,0,3
Comp,5,T2,openai,319,37,88.4,LOW PASS,TRUE,FAIL,3,2,2,1,4,0,4,1,0,0,3,0,4
Comp,2,T2,openai,285,40,86.0,FAIL,TRUE,FAIL,1,5,2,1,4,0,4,4,0,1,0,0,5
Comp,9,T1,openai,268,46,82.8,FAIL,TRUE,FAIL,1,6,3,1,7,0,7,3,0,0,0,1,4
Comp,3,T1,openai,311,106,65.9,FAIL,TRUE,FAIL,0,1,1,4,2,0,2,4,0,0,0,0,4
Comp,10,T3,openai,214,137,36.0,FAIL,TRUE,FAIL,2,2,7,4,14,0,14,0,0,0,0,1,1
Comp,8,T2,openai,270,350,0.0,FAIL,TRUE,FAIL,3,15,2,13,33,0,33,0,0,0,0,0,0
